"ID","isActive","gameID","state","shortDescription","dateCreated","dateModified","createdBy","modifiedBy"
"57","1","143","MN","Daily 3","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"58","1","144","MN","Northstar Cash","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"59","1","145","MD","Gopher 5","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"60","1","151","MO","Show Me Cash","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"61","1","153","NE","no","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"62","1","154","NE","MyDay","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"63","1","155","NJ","Pick 6","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"64","1","165","NM","Roadrunner Cash","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"65","1","167","NY","Win 4 Mid-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"66","1","168","NY","Win 4 Evening","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"67","1","169","NY","Take 5 Mid-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"68","1","170","NY","Take 5 Evening","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"69","1","173","NY","Pick 10","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"70","1","177","NC","Cash 5 Double Play","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"71","1","185","OH","Rolling Cash 5","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"72","1","190","OR","Win for Life","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"73","1","192","OR","Lucky Lines 7","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"74","1","193","OR","Pick 4 Early-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"75","1","195","OR","Pick 4 Late-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"76","1","207","PA","Treasure Hunt","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"77","1","208","RI","Wild Money","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"78","1","215","SC","Palmetto Cash 5","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"79","1","217","TN","Cash 3 Early","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"80","1","220","TN","Cash 4 Early","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"81","1","224","TX","Two Step","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"82","1","225","TX","All or Nothing Early","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"83","1","226","TX","All or Nothing Mid-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"84","1","227","TX","All or Nothing Late-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"85","1","228","TX","All or Nothing Evening","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"86","1","229","TX","Pick 3 Early","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"87","1","231","TX","Pick 3 Late-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
