87,1,Pick 3 Evening (GA),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1188,NULL,NULL,NULL,NULL
88,1,Pick 3 Night (GA),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1189,NULL,NULL,NULL,NULL
89,1,Pick 4 Mid-Day (GA),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1190,NULL,NULL,NULL,NULL
90,1,Pick 4 Evening (GA),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1191,NULL,NULL,NULL,NULL
91,1,Pick 4 Night (GA),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1192,NULL,NULL,NULL,NULL
92,1,Fantasy 5 (GA),NULL,NULL,5,1,42,NULL,NULL,125000,NULL,1.00,1193,NULL,NULL,NULL,NULL
93,1,Five Mid-Day (GA),NULL,NULL,5,0,9,NULL,NULL,NULL,10000,NULL,1194,NULL,NULL,NULL,NULL
94,1,Five Evening (GA),NULL,NULL,5,0,9,NULL,NULL,NULL,10000,NULL,1195,NULL,NULL,NULL,NULL
95,1,Jumbo Bucks (GA),NULL,NULL,6,1,47,NULL,NULL,1000000,NULL,NULL,1196,NULL,NULL,NULL,NULL
96,1,Cash (ID),NULL,NULL,5,0,45,NULL,NULL,NULL,NULL,NULL,1197,NULL,NULL,NULL,NULL
97,1,5 Star Draw (ID),NULL,NULL,5,1,45,NULL,NULL,250000,NULL,5.00,1198,NULL,NULL,NULL,NULL
98,1,Weekly Grand (ID),NULL,NULL,5,1,32,NULL,NULL,NULL,52000,2.00,1199,NULL,NULL,NULL,NULL
99,1,Pick 3 Mid-Day (ID),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1200,NULL,NULL,NULL,NULL
100,1,Pick 3 Evening (ID),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1202,NULL,NULL,NULL,NULL
101,1,"Pick 4 Mid-Day (ID) ",NULL,NULL,4,0,9,36,NULL,NULL,NULL,NULL,1203,NULL,NULL,NULL,NULL
102,1,Pick 4 Evening (ID),NULL,NULL,4,0,9,36,NULL,NULL,NULL,NULL,1205,NULL,NULL,NULL,NULL
103,1,Lotto (IL),NULL,NULL,6,1,50,NULL,25,2000000,NULL,NULL,1206,NULL,NULL,NULL,NULL
104,1,Lucky Day Lotto Mid-Day (IL),NULL,NULL,5,1,45,NULL,NULL,100000,NULL,1.00,1207,NULL,NULL,NULL,NULL
105,1,Pick 3 Mid-Day (IL),NULL,NULL,3,0,9,9,NULL,NULL,NULL,NULL,1208,NULL,NULL,NULL,NULL
